part,name,description,category,product_line_id,release_date,original_condition_id
J6D98LA#ABM,HP Power backpack LTNA Rfrbd DT Accessory,HP Power backpack LTNA DT Accessory,"Accessories>Bags, Cases & Sleeves",Consumer,2014-08-29,Refurbished
G1K22AA,HP DT Mini Security/Dual VESA Sleeve,HP Desktop Mini Security/Dual VESA Sleeve,"Accessories>Bags, Cases & Sleeves",Commercial,2015-06-18,Excess New
G1K22AT,HP DT Mini Security/Dual VESA Sleeve,HP Desktop Mini Security/Dual VESA Sleeve,"Accessories>Bags, Cases & Sleeves",Commercial,2015-11-10,Excess New
T0X77LA#ABM,Hard Shell Notebook Rfrbd Case,Hard Shell Notebook Case,"Accessories>Bags, Cases & Sleeves",Consumer,2016-03-03,Excess New
J6N95AA#ABL,HP 10 Plus Blu CAN/ENG LTNA Rfrbd Case,HP 10 Plus Blu CAN/ENG LTNA Case,"Accessories>Bags, Cases & Sleeves",Consumer,2015-08-26,Excess New
K5R21LA#ABM,HP 10 Plus Blue LTNA Rfrbd Case,HP 10 Plus Blue LTNA Case,"Accessories>Bags, Cases & Sleeves",Consumer,2015-02-04,Refurbished
T0X78LA#ABM,HP 11.6 Purple Value Sleeve Rfrbd Case,HP 11.6 Purple Value Sleeve Case,"Accessories>Bags, Cases & Sleeves",Commercial,2016-06-20,Refurbished
F3W21AA#ABL,HP 13.3 Leather Rfrbd Sleeve,HP 13.3CAN/ENG Leather Sleeve,"Accessories>Bags, Cases & Sleeves",Consumer,2015-01-12,Excess New
W5D82LA#ABM,HP 14 Ladies Blue/Pink Strap Sleeve,HP 14 Ladies Blue/Pink Strap Sleeve,"Accessories>Bags, Cases & Sleeves",Consumer,2017-01-12,Excess New
T0E15AA#ABL,HP 14 Ladies Gray Strap Sleeve,HP 14 Ladies Gray Strap Sleeve,"Accessories>Bags, Cases & Sleeves",Consumer,2017-01-12,Excess New
K0S31AA,HP 14.0 Executive Leather Messenger,HP 14.0 Executive Leather Messenger,"Accessories>Bags, Cases & Sleeves",Commercial,2015-09-14,Refurbished
G2W59LA#ABM,HP 14.1 Black Rfrbd Sleeve,HP 14.1 Black Sleeve,"Accessories>Bags, Cases & Sleeves",Consumer,2014-05-09,Refurbished
F4D29LA#ABM,HP 14.1 White Rfrbd Sleeve,HP 14.1 White Sleeve,"Accessories>Bags, Cases & Sleeves",Consumer,2014-05-09,Refurbished
H4J99AA#ABL,HP 14.1 White Rfrbd Sleeve,HP 14.1 White Sleeve,"Accessories>Bags, Cases & Sleeves",Consumer,2014-12-29,Excess New
L6V69AA#ABL,HP 15.6 Signature II Messenger Rfrbd Bag,HP 15.6 Signature II Messenger Bag,"Accessories>Bags, Cases & Sleeves",Consumer,2016-05-18,Refurbished
M9A47LA#ABM,HP 15.6 Value Topload Rfrbd Case,HP 15.6 Value Topload Case,"Accessories>Bags, Cases & Sleeves",Consumer,2015-09-11,Excess New
